event	sha	upstream_iso8601	disposition	evidence
1	57998c1085faad56dcd0d012c4996d35cb243a78	2018-07-14T11:34:12+03:00	baseline	-
2	cfcf737f717f6a9ad812bddf8ef7d1cf66e988af	2018-07-14T18:52:52+03:00	baseline	-
3	ce2a54e239fd983ef9739d21d4821c93635d0c7b	2018-07-14T18:58:43+03:00	baseline	-
4	cfcc41a5e7df2ff3a0e4841915cfb4b78b668d29	2018-07-14T21:47:46+03:00	baseline	-
5	52453be2310d129dd819f69701cc641a5729ac6e	2018-07-14T21:48:54+03:00	baseline	-
6	14320a1134fdb007ffc1263a5986d117136a5562	2018-07-14T21:53:23+03:00	baseline	-
7	3bf88d09ba6bc587892a9086bc1fe6bf7c316e4c	2018-07-14T22:43:51+03:00	baseline	-
8	db05fa851c42e8d59524611927d41db1f3678c7c	2018-07-14T22:45:29+03:00	baseline	-
9	caf0680b09ee210c188a99baac5b4869965250ac	2018-07-14T22:47:17+03:00	baseline	-
10	ce0f5e4d3b77e121de3bfb9fb770074c8597ab46	2018-07-14T23:13:38+03:00	baseline	-
11	239e87afd6de3fdb71be7f270491498f3464816d	2018-07-14T23:17:48+03:00	baseline	-
12	3a9377090ff57a0b12079751acffcc128950ea2d	2018-07-14T23:19:59+03:00	baseline	-
13	7ddf2611e490bbfe85f210c7b45ef52d6f46ec64	2018-07-14T23:29:48+03:00	baseline	-
14	d6964b8be723973a02bbb0302a4f6482c208fedf	2018-07-15T00:11:08+03:00	baseline	-
15	3ba19b2541eb250b3d5c1ae86dafcd5eacb0faa7	2018-07-16T11:10:22+03:00	baseline	-
16	d668051cfc60dc8bbcec2fd1c361b4aa1681391f	2018-07-16T22:39:32+03:00	baseline	-
17	cf61ee1c1cd931349b77ecafa5417cd000445f16	2018-07-17T12:11:16+03:00	baseline	-
18	a43cfef13bb1352ba1bf1478d6e28bc13fc30132	2018-07-30T00:48:21+03:00	baseline	-
19	2feebde75d21d75ea0ab6d2c6dfbdd7a75637ebd	2018-07-30T08:46:56+03:00	baseline	-
20	194eeeb9e1d41c5fc83fead1cc7a7b031eeb5199	2018-07-30T10:43:19+03:00	baseline	-
21	795155183388e19013b7b3728e0050a93d6b932e	2018-07-30T11:50:05+03:00	baseline	-
22	2b0674d8382c841ea922305de196341b539ee997	2018-07-30T12:05:59+03:00	baseline	-
23	f8c5ef15507d331357721f0168148e1fe1512254	2018-07-30T12:18:53+03:00	baseline	-
24	9f9aafe198086dde881e401ae725aa5d5f9b49b3	2018-07-30T12:55:11+03:00	baseline	-
25	2f79ed7c6541aea2710c54f9e52b84b2bcdc9b37	2018-07-30T18:04:21+03:00	baseline	-
26	49ea3fbdd725575db974f5052ede950491548992	2018-08-02T09:19:50+03:00	baseline	-
27	a37f937cb9da1a6acb3e12ae88e2a4f101cb53ef	2018-08-02T09:27:36+03:00	baseline	-
28	80d082a45e474d7d6590bd573a928219e2044228	2018-08-02T13:19:44+03:00	baseline	-
29	0c841b96883334c7a112248e835c83ad35287218	2018-08-02T14:47:27+03:00	baseline	-
30	35784064a24b2a69567af11fd9e87e8069ba41b5	2018-08-05T17:18:32+03:00	baseline	-
31	0947d4ffb028023c396e59ca78dad4c4a9a5db89	2018-08-05T17:51:20+03:00	baseline	-
32	b90405841095e8e21a87c78c37dd01797824738a	2018-08-05T18:17:35+03:00	baseline	-
33	015c518152739f13e9933193700aa5a8cafc3d1b	2018-08-06T10:32:24+03:00	baseline	-
34	f9430e4ffdb69558cc333dda2828fef83de97f7e	2018-08-06T10:43:48+03:00	baseline	-
35	4148c57b11b092201e5a632e3365747abc0a9121	2018-08-06T21:17:01+03:00	baseline	-
36	9f32a2fdeef00fa14f1f8d81aa2b37c9be067ac2	2018-08-06T21:18:09+03:00	baseline	-
37	5a0378833bec6869cf9f9ed4ee21372bad2e346d	2018-08-07T14:07:58+03:00	baseline	-
38	425d51925274929795656c4ed3065079d68551ad	2018-08-08T20:09:07+03:00	baseline	-
39	aae3b0f285854e8a32462ecb2db373dc0dd72c9d	2018-08-08T20:12:43+03:00	baseline	-
40	653a0581c6b5662ea4c5db48a54d79f2efb1416f	2018-08-09T17:19:43+03:00	baseline	-
41	c224b52782495854b064c7b6aab292ca6a06275c	2018-08-13T09:09:05+03:00	baseline	-
42	02b4800ddf842a16f5c9aa5b596fa50e254fbf55	2018-08-13T13:07:40+03:00	baseline	-
